track,excerpt_start,musdb_version,sha256_mix,sha256_vocals,sha256_bass,sha256_drums,sha256_other,rms_mix,rms_vocals,rms_bass,rms_drums,rms_other,active_mix,active_vocals,active_bass,active_drums,active_other,roles,license_note
"Al James - Schoolboy Facination","00:00:30","MUSDB18-HQ","f6336f98d761d24186f583b068c0b54fd0567601f32fbbf1795d305d87c1178b","2a4cef360e386f4a957b98420cff0396ae4f80ce38e535b98a747a89377df844","b9d9e6862ace10f1bc9b2c342d86bf7a9b25d4ad787c4adbce9434b9cfe1c852","66be01ccd727805012a6b649fd31be48b5c8420fc0ebbcd527c9ec9ce4fe803d","6b8023d66853435454b9843c640298fe119429b4f5448da08557b2814f317c65","-18.8","-22.9","-24.9","-26.9","-25.6","30","29","30","30","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Punkdisco - Oral Hygiene","00:00:30","MUSDB18-HQ","5f226befa17a213a62ca57c3bffbcc19768447b371d6d6ecdad86af6d4a740c8","e81209f9794e17e2db601b2485c64f22c5a85a833e1ca3c760ddc998e5230d71","cfbf53cb9ee6b3692b3bb2a518acc7ffedb6a5ad764ffefea925f8d1aa1342e9","7c5946a19cd2f7f35da187dc9a3b8456e3c9e1b12f58735ecb033f8fa34f770f","7e182b0d2aadaabb629b22f219f2e2a8bcb3dde5e6cd60f7f89f64b41c13338f","-18.9","-30.8","-22.3","-22.5","-31.0","30","14","30","30","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Forkupines - Semantics","00:00:30","MUSDB18-HQ","7f33cb98824df8f53e8a8464765696d9c003c16790264673e22cb57c2e73ae09","6440335906592228ecadd02d989b2dbc8fff2b1f3c13ce4b82a9b99258c8d2bf","a543d04efa031c1bd7bb1704b47fc00c0f49b5f076921a8961488981c181cad4","4bd777ab9cfc107277393570ee0127c9fdccc542da8b0b0ba37c7ade87186545","38013b724826a6e1ebdf739950523799ee78db3b7b05e0b8e59800220712fa54","-16.2","-24.8","-26.2","-18.2","-24.9","30","23","30","30","26","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Buitraker - Revo X","00:00:30","MUSDB18-HQ","aa62ae5009d8823a74da18b347bbddd4aa6d202b3fee07c66aa189cb90e436ad","e7851a9a61602fe202af802180b9c2a9fff9d7369dbf8dde201252c2604fc96e","75dab5307dd72bfb601b9c00ab1573a6771a103db6592f4a33050a16423ae043","85a536f7631ee500110e37b4005e902fc458fef75b040024a9209b919a77a121","3e1ed8e1df0122e3aaac38a0b3fe56aa6fa052435d784f472809524d63bcfa65","-18.6","-33.3","-24.4","-20.7","-29.2","30","10","30","30","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"M.E.R.C. Music - Knockout","00:00:30","MUSDB18-HQ","034a4c15a4c737f7a0ac19cac4a5c05a5294aeeb4ab1167b2d1f3fb3f8a5296a","1ec50ecc86f3de4cf33062c5178ad66c317c68e109d9a0b77551a25c82559259","c375177add261c02cde3510c1405ab380b6ae18bdf1325b5514a9e95113f238c","4e27ff9994fe004dc6533f8e7a96daaade5060c563461acffec81265f7d43bbd","024be4819ad2a3c8826f9e328214d9cc3ae1fa1597a5db4103c66066eccb34f6","-19.1","-23.0","-28.8","-25.3","-25.3","30","30","22","30","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"The Sunshine Garcia Band - For I Am The Moon","00:00:30","MUSDB18-HQ","1598c6438b245e96362fddd12024b1e0f697beac580bbda67238bd89fcdc68b7","f69c32822454ce7031b66dea88708f243163ec8a305d6f33944a44b6119189d6","18bda30c3c99211d7669bad101cbed0ac5755a0015e9ecdc271dd7eb48faaa9f","9016b7d9eabd29cfdd17a8f8f9c992ced929cc8fa74520957fb6aae3b1b1fdf6","aad4064eb4e08632bf5e38e3fa614e1bc6b9c512f50f913a2817437ac67f1a07","-18.8","-24.5","-24.2","-23.3","-29.8","30","29","29","30","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"PR - Oh No","00:00:30","MUSDB18-HQ","17656e7066645a8cb10d696ec060c580f72985b4f52e820b8ff992573dc3b14e","b33b5cd907d20fa428536ba004fb833717aade17edd3c24e6e6f8bdbbc9fb22d","f01ae4df6ad8e1e2f458c024d1a7951b89d518db6aa461b0e7d96c4a27c47321","8ba4da52eaf1893daba132863ec0785c580db9cd3c0228aa965f008cf6ccbd7a","5906e59af85f516d785d9038251c0b7fe50ab75dcef3a6204b54942096b215a2","-17.1","-33.8","-23.7","-16.8","-25.6","30","16","28","30","27","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Little Chicago's Finest - My Own","00:00:30","MUSDB18-HQ","fcd4cd58e718c969d57f2154c9f34d708b0e99a69fc4d33ceaa18c559e4d8dc1","0734c2dd27f91c2e03372fc3991cd96f86bb8323f75708638607796e3addea17","21645b69de0e579ca2cad93d3e554f3b56465c1f432f2270ffbc466de0299e5a","273224c06520ca7961ff019fd2ba30807aaf9b3aab10e463a1f318c26ad4bdc0","a7cb7e1131f277f3b95de4371620dc19d64036ac724fcc7b6c476d5db81f27e1","-22.1","-29.3","-33.0","-23.9","-35.1","30","30","30","29","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"Signe Jakobsen - What Have You Done To Me","00:00:30","MUSDB18-HQ","1a25d7ae1140b40d20b0ba947549e5eb989dcadc221247d5a59791043b2493f0","7121f2a9ad7a1ca15c21a47f790c488b09adba5018db76d7ca9f24e2d293c920","491cd82138681feb25fea04edd95075157934ac018b804a7ea64012ccb7bd5c1","2fa16de6bb1b4fca83a8808834780a8c1fd36a02fcb7d8c9f7f8b05c7a814964","0646e1fe8df75312f80c72dc264cb1d6a2063302ad92626774af376ca55453e6","-18.4","-23.2","-26.2","-25.8","-23.2","30","30","29","30","29","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
"The Mountaineering Club - Mallory","00:00:30","MUSDB18-HQ","d062b4db752a9b4a53bc38fbede7dccd58615c1ffd15b7bd2c50c06be52a3ddf","71a923deeca7e2c2551a51965a1f6b92eeaf9eaf229cf0a46f239ad9d7098a26","35102d3c0dee406d0235142150b22c590b483fc07523920401e9fc3a0c50ce28","1c65fc809978136f665563aa1830d9035d09b499f7797f2031cb8ebdd0d4997f","5576eb1a14463589ccdfeb887d4484993546fd664d8558884efc8b0d48a0283e","-21.3","-28.2","-26.4","-29.0","-26.1","30","21","30","22","30","vocals,bass,drums,other","CC BY-NC-SA 4.0 or Educational"
