bed,ratio_05,ratio_06,ratio_07
Buitraker_-_Revo_X__drums.wav,0.17590539541759054,0.1426459719142646,0.11566888396156688
Hollow_Ground_-_Ill_Fate__drums.wav,0.07095343680709534,0.06208425720620843,0.051736881005173686
Moosmusic_-_Big_Dummy_Shake__drums+bass.wav,0.016260162601626018,0.015521064301552107,0.011086474501108648
Moosmusic_-_Big_Dummy_Shake__drums.wav,0.0018477457501847746,0.0011086474501108647,0.0003695491500369549
Little_Chicagos_Finest_-_My_Own__other.wav,0.0029563932002956393,0.0007390983000739098,0.0
MERC_Music_-_Knockout__drums+bass.wav,0.08869179600886919,0.08462675535846267,0.08019216555801921
Buitraker_-_Revo_X__drums+bass.wav,0.008499630450849963,0.008499630450849963,0.007760532150776054
Secretariat_-_Borderline__other.wav,0.019216555801921657,0.014781966001478197,0.008869179600886918
The_Mountaineering_Club_-_Mallory__other.wav,0.014412416851441241,0.008499630450849963,0.003695491500369549
Arise_-_Run_Run_Run__other.wav,0.2960088691796009,0.2335550628233555,0.18107908351810792
Signe_Jakobsen_-_What_Have_You_Done_To_Me__other.wav,0.10790835181079084,0.09238728750923873,0.0794530672579453
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon__other.wav,0.35994087213599407,0.30598669623059865,0.24833702882483372
Tom_McKenzie_-_Directions__other.wav,0.038433111603843315,0.02106430155210643,0.010716925351071693
PR_-_Oh_No__other.wav,0.27974870657797485,0.2361419068736142,0.2025129342202513
Punkdisco_-_Oral_Hygiene__other.wav,0.23909830007390984,0.21249076127124908,0.19401330376940132
Zeno_-_Signs__other.wav,0.12601626016260162,0.09201773835920177,0.06171470805617147
Al_James_-_Schoolboy_Facination__other.wav,0.21101256467110124,0.18144863266814487,0.15151515151515152
Motor_Tapes_-_Shore__other.wav,0.0,0.0,0.0
Timboz_-_Pony__drums.wav,0.26053215077605324,0.22025129342202512,0.18329637841832963
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight__other.wav,0.12527716186252771,0.09053954175905396,0.06541019955654102
Skelpolu_-_Resurrection__other.wav,0.17997043606799704,0.15299334811529933,0.12453806356245381
Timboz_-_Pony__drums+bass.wav,0.22283813747228381,0.180339985218034,0.14708056171470807
Speak_Softly_-_Like_Horses__other.wav,0.03695491500369549,0.022172949002217297,0.007390983000739098
AM_Contra_-_Heart_Peripheral__other.wav,0.015151515151515152,0.009608277900960829,0.004434589800443459
MERC_Music_-_Knockout__drums.wav,0.11160384331116038,0.10384331116038432,0.09571322985957133
Louis_Cressy_Band_-_Good_Time__other.wav,0.044715447154471545,0.03288987435328899,0.023651145602365115
Hollow_Ground_-_Ill_Fate__drums+bass.wav,0.045454545454545456,0.03288987435328899,0.019955654101995565
Forkupines_-_Semantics__other.wav,0.04730229120473023,0.04434589800443459,0.04249815225424981
