mix,snr_tag,in_05,in_07,out_05,out_07
Punkdisco_-_Oral_Hygiene__snrm3,m3,0.9147286821705426,0.8660022148394242,0.0027731558513588465,0.0
AM_Contra_-_Heart_Peripheral__snrp10,p10,0.9789590254706534,0.9656699889258029,0.0027731558513588465,0.0
Forkupines_-_Semantics__snrp3,p3,0.9102990033222591,0.8615725359911407,0.013311148086522463,0.007210205213533
Motor_Tapes_-_Shore__snrp3,p3,0.7441860465116279,0.6622369878183831,0.0033277870216306157,0.0
Hollow_Ground_-_Ill_Fate__snrp3,p3,0.9534883720930233,0.9346622369878184,0.048807542983915694,0.02273987798114254
Louis_Cressy_Band_-_Good_Time__snrp3,p3,0.9191583610188261,0.8704318936877077,0.12035496394897394,0.056572379367720464
PR_-_Oh_No__snrp10,p10,0.9878183831672204,0.9579180509413068,0.24126455906821964,0.15196894065446478
Punkdisco_-_Oral_Hygiene__snrp3,p3,0.9479512735326688,0.929125138427464,0.0027731558513588465,0.0
Timboz_-_Pony__snrm3,m3,0.8947951273532669,0.8361018826135105,0.04215196894065446,0.026067665002773157
Arise_-_Run_Run_Run__snrp3,p3,0.9590254706533776,0.9390919158361019,0.036605657237936774,0.017193566278424846
The_Mountaineering_Club_-_Mallory__snrp3,p3,0.955703211517165,0.9213732004429679,0.04603438713255685,0.016638935108153077
Arise_-_Run_Run_Run__snrm3,m3,0.9512735326688815,0.8981173864894795,0.036605657237936774,0.017193566278424846
Forkupines_-_Semantics__snrp10,p10,0.964562569213732,0.937984496124031,0.013311148086522463,0.007210205213533
The_Mountaineering_Club_-_Mallory__snrm3,m3,0.893687707641196,0.813953488372093,0.04603438713255685,0.016638935108153077
Moosmusic_-_Big_Dummy_Shake__snrm3,m3,0.689922480620155,0.5802879291251384,0.043815862451469775,0.027176927343316695
Secretariat_-_Borderline__snrp10,p10,0.9623477297895903,0.9280177187153932,0.022185246810870772,0.013865779256794232
Moosmusic_-_Big_Dummy_Shake__snrp3,p3,0.8682170542635659,0.7995570321151716,0.043815862451469775,0.027176927343316695
AM_Contra_-_Heart_Peripheral__snrp3,p3,0.9534883720930233,0.937984496124031,0.0027731558513588465,0.0
Buitraker_-_Revo_X__snrm3,m3,0.8947951273532669,0.8516057585825028,0.026622296173044926,0.014420410427066
Buitraker_-_Revo_X__snrp3,p3,0.973421926910299,0.9390919158361019,0.026622296173044926,0.014420410427066
