sample_id,split,kind,speech_speaker,speech_file,music_track_id,music_license,snr_db,npy_path
1,train,clean_speech,3576,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/3576/138058/3576-138058-0005.flac,,,,/tmp/phi1/dataset/000001.npy
2,train,clean_speech,5536,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/5536/43359/5536-43359-0007.flac,,,,/tmp/phi1/dataset/000002.npy
3,train,clean_speech,84,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/84/121550/84-121550-0034.flac,,,,/tmp/phi1/dataset/000003.npy
4,train,clean_speech,1272,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/1272/141231/1272-141231-0026.flac,,,,/tmp/phi1/dataset/000004.npy
5,train,clean_speech,3752,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/3752/4943/3752-4943-0001.flac,,,,/tmp/phi1/dataset/000005.npy
6,train,clean_speech,2803,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/2803/154320/2803-154320-0012.flac,,,,/tmp/phi1/dataset/000006.npy
7,train,clean_speech,5694,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/5694/64025/5694-64025-0014.flac,,,,/tmp/phi1/dataset/000007.npy
8,train,clean_speech,5895,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/5895/34622/5895-34622-0009.flac,,,,/tmp/phi1/dataset/000008.npy
9,train,clean_speech,6319,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/6319/64726/6319-64726-0009.flac,,,,/tmp/phi1/dataset/000009.npy
10,train,clean_speech,6345,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/6345/64257/6345-64257-0000.flac,,,,/tmp/phi1/dataset/000010.npy
11,train,clean_speech,5895,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/5895/34622/5895-34622-0022.flac,,,,/tmp/phi1/dataset/000011.npy
12,train,clean_speech,2086,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/2086/149220/2086-149220-0034.flac,,,,/tmp/phi1/dataset/000012.npy
13,train,clean_speech,251,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/251/118436/251-118436-0016.flac,,,,/tmp/phi1/dataset/000013.npy
14,train,clean_speech,8297,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/8297/275155/8297-275155-0002.flac,,,,/tmp/phi1/dataset/000014.npy
15,train,clean_speech,5694,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/5694/64038/5694-64038-0018.flac,,,,/tmp/phi1/dataset/000015.npy
16,train,clean_speech,3752,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/3752/4944/3752-4944-0047.flac,,,,/tmp/phi1/dataset/000016.npy
17,train,clean_speech,6313,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/6313/66129/6313-66129-0026.flac,,,,/tmp/phi1/dataset/000017.npy
18,train,clean_speech,652,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/652/130726/652-130726-0013.flac,,,,/tmp/phi1/dataset/000018.npy
19,train,clean_speech,3170,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/3170/137482/3170-137482-0007.flac,,,,/tmp/phi1/dataset/000019.npy
20,train,clean_speech,8842,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/8842/302196/8842-302196-0000.flac,,,,/tmp/phi1/dataset/000020.npy
21,train,clean_speech,1673,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/1673/143397/1673-143397-0020.flac,,,,/tmp/phi1/dataset/000021.npy
22,train,clean_speech,7850,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/7850/281318/7850-281318-0011.flac,,,,/tmp/phi1/dataset/000022.npy
23,train,clean_speech,7976,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/7976/105575/7976-105575-0015.flac,,,,/tmp/phi1/dataset/000023.npy
24,train,clean_speech,251,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/251/118436/251-118436-0013.flac,,,,/tmp/phi1/dataset/000024.npy
25,train,clean_speech,777,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/777/126732/777-126732-0057.flac,,,,/tmp/phi1/dataset/000025.npy
26,train,clean_speech,6295,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/6295/244435/6295-244435-0004.flac,,,,/tmp/phi1/dataset/000026.npy
27,train,clean_speech,2086,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/2086/149220/2086-149220-0002.flac,,,,/tmp/phi1/dataset/000027.npy
28,train,clean_speech,2412,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/2412/153947/2412-153947-0013.flac,,,,/tmp/phi1/dataset/000028.npy
29,train,clean_speech,1673,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/1673/143397/1673-143397-0012.flac,,,,/tmp/phi1/dataset/000029.npy
30,train,clean_speech,3752,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/3752/4943/3752-4943-0007.flac,,,,/tmp/phi1/dataset/000030.npy
31,train,clean_speech,3170,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/3170/137482/3170-137482-0000.flac,,,,/tmp/phi1/dataset/000031.npy
32,train,clean_speech,652,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/652/129742/652-129742-0018.flac,,,,/tmp/phi1/dataset/000032.npy
33,train,clean_speech,2428,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/2428/83699/2428-83699-0008.flac,,,,/tmp/phi1/dataset/000033.npy
34,train,clean_speech,8842,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/8842/302201/8842-302201-0001.flac,,,,/tmp/phi1/dataset/000034.npy
35,train,clean_speech,6319,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/6319/57405/6319-57405-0008.flac,,,,/tmp/phi1/dataset/000035.npy
36,train,clean_speech,3170,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/3170/137482/3170-137482-0001.flac,,,,/tmp/phi1/dataset/000036.npy
37,train,clean_speech,7850,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/7850/286674/7850-286674-0010.flac,,,,/tmp/phi1/dataset/000037.npy
38,train,clean_speech,6241,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/6241/66616/6241-66616-0017.flac,,,,/tmp/phi1/dataset/000038.npy
39,train,clean_speech,5536,/home/aidevcon/Downloads/DATASET/librispeech/LibriSpeech/dev-clean/5536/43363/5536-43363-0018.flac,,,,/tmp/phi1/dataset/000039.npy
