bed,frames,ratio_05,ratio_07
AM_Contra_-_Heart_Peripheral__other.wav,2706,0.019,0.006
Al_James_-_Schoolboy_Facination__other.wav,2706,0.223,0.154
Arise_-_Run_Run_Run__other.wav,2706,0.306,0.184
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight__other.wav,2706,0.127,0.064
Buitraker_-_Revo_X__drums+bass.wav,2706,0.010,0.008
Buitraker_-_Revo_X__drums.wav,2706,0.190,0.128
Forkupines_-_Semantics__other.wav,2706,0.047,0.040
Hollow_Ground_-_Ill_Fate__drums+bass.wav,2706,0.042,0.020
Hollow_Ground_-_Ill_Fate__drums.wav,2706,0.075,0.055
Little_Chicagos_Finest_-_My_Own__other.wav,2706,0.003,0.000
Louis_Cressy_Band_-_Good_Time__other.wav,2706,0.045,0.024
MERC_Music_-_Knockout__drums+bass.wav,2706,0.089,0.080
MERC_Music_-_Knockout__drums.wav,2706,0.109,0.096
Moosmusic_-_Big_Dummy_Shake__drums+bass.wav,2706,0.017,0.012
Moosmusic_-_Big_Dummy_Shake__drums.wav,2706,0.003,0.001
Motor_Tapes_-_Shore__other.wav,2706,0.000,0.000
PR_-_Oh_No__other.wav,2706,0.291,0.211
Punkdisco_-_Oral_Hygiene__other.wav,2706,0.232,0.178
Secretariat_-_Borderline__other.wav,2706,0.018,0.008
Signe_Jakobsen_-_What_Have_You_Done_To_Me__other.wav,2706,0.098,0.075
Skelpolu_-_Resurrection__other.wav,2706,0.176,0.120
Speak_Softly_-_Like_Horses__other.wav,2706,0.040,0.007
The_Mountaineering_Club_-_Mallory__other.wav,2706,0.015,0.004
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon__other.wav,2706,0.404,0.293
Timboz_-_Pony__drums+bass.wav,2706,0.247,0.168
Timboz_-_Pony__drums.wav,2706,0.316,0.233
Tom_McKenzie_-_Directions__other.wav,2706,0.038,0.011
Zeno_-_Signs__other.wav,2706,0.152,0.080
