bed,frames,ratio_05,ratio_07
AM_Contra_-_Heart_Peripheral__other.wav,2706,0.019,0.009
Al_James_-_Schoolboy_Facination__other.wav,2706,0.214,0.153
Arise_-_Run_Run_Run__other.wav,2706,0.307,0.195
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight__other.wav,2706,0.137,0.062
Buitraker_-_Revo_X__drums+bass.wav,2706,0.008,0.008
Buitraker_-_Revo_X__drums.wav,2706,0.210,0.135
Forkupines_-_Semantics__other.wav,2706,0.044,0.041
Hollow_Ground_-_Ill_Fate__drums+bass.wav,2706,0.052,0.029
Hollow_Ground_-_Ill_Fate__drums.wav,2706,0.081,0.062
Little_Chicagos_Finest_-_My_Own__other.wav,2706,0.003,0.000
Louis_Cressy_Band_-_Good_Time__other.wav,2706,0.038,0.018
MERC_Music_-_Knockout__drums+bass.wav,2706,0.067,0.057
MERC_Music_-_Knockout__drums.wav,2706,0.074,0.059
Moosmusic_-_Big_Dummy_Shake__drums+bass.wav,2706,0.026,0.017
Moosmusic_-_Big_Dummy_Shake__drums.wav,2706,0.011,0.005
Motor_Tapes_-_Shore__other.wav,2706,0.000,0.000
PR_-_Oh_No__other.wav,2706,0.412,0.312
Punkdisco_-_Oral_Hygiene__other.wav,2706,0.103,0.086
Secretariat_-_Borderline__other.wav,2706,0.031,0.012
Signe_Jakobsen_-_What_Have_You_Done_To_Me__other.wav,2706,0.093,0.074
Skelpolu_-_Resurrection__other.wav,2706,0.179,0.123
Speak_Softly_-_Like_Horses__other.wav,2706,0.037,0.007
The_Mountaineering_Club_-_Mallory__other.wav,2706,0.012,0.004
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon__other.wav,2706,0.433,0.302
Timboz_-_Pony__drums+bass.wav,2706,0.240,0.159
Timboz_-_Pony__drums.wav,2706,0.353,0.266
Tom_McKenzie_-_Directions__other.wav,2706,0.030,0.008
Zeno_-_Signs__other.wav,2706,0.110,0.041
