mix,snr_tag,in_05,in_07,out_05,out_07
mix.wav,m3,0.907,0.867,0.002,0.000
mix.wav,p10,0.971,0.962,0.002,0.000
mix.wav,p3,0.946,0.934,0.002,0.000
mix.wav,m3,0.846,0.773,0.131,0.058
mix.wav,p10,0.976,0.952,0.131,0.058
mix.wav,p3,0.922,0.898,0.131,0.058
mix.wav,m3,0.948,0.894,0.032,0.016
mix.wav,p10,0.962,0.944,0.032,0.016
mix.wav,p3,0.953,0.935,0.032,0.016
mix.wav,m3,0.870,0.796,0.016,0.001
mix.wav,p10,0.980,0.966,0.016,0.001
mix.wav,p3,0.942,0.929,0.016,0.001
mix.wav,m3,0.884,0.832,0.024,0.010
mix.wav,p10,0.990,0.966,0.024,0.010
mix.wav,p3,0.962,0.931,0.024,0.010
mix.wav,m3,0.815,0.722,0.013,0.007
mix.wav,p10,0.961,0.934,0.013,0.007
mix.wav,p3,0.906,0.863,0.013,0.007
mix.wav,m3,0.895,0.856,0.025,0.011
mix.wav,p10,0.979,0.957,0.025,0.011
mix.wav,p3,0.949,0.921,0.025,0.011
mix.wav,m3,0.745,0.668,0.006,0.001
mix.wav,p10,0.976,0.906,0.006,0.001
mix.wav,p3,0.878,0.786,0.006,0.001
mix.wav,m3,0.783,0.695,0.115,0.057
mix.wav,p10,0.991,0.959,0.115,0.057
mix.wav,p3,0.916,0.869,0.115,0.057
mix.wav,m3,0.801,0.709,0.092,0.047
mix.wav,p10,0.971,0.949,0.092,0.047
mix.wav,p3,0.931,0.891,0.092,0.047
mix.wav,m3,0.692,0.579,0.043,0.027
mix.wav,p10,0.953,0.910,0.043,0.027
mix.wav,p3,0.859,0.788,0.043,0.027
mix.wav,m3,0.492,0.364,0.003,0.000
mix.wav,p10,0.894,0.858,0.003,0.000
mix.wav,p3,0.745,0.659,0.003,0.000
mix.wav,m3,0.845,0.772,0.261,0.164
mix.wav,p10,0.983,0.947,0.261,0.164
mix.wav,p3,0.926,0.894,0.261,0.164
mix.wav,m3,0.901,0.850,0.003,0.000
mix.wav,p10,0.975,0.963,0.003,0.000
mix.wav,p3,0.946,0.921,0.003,0.000
mix.wav,m3,0.776,0.687,0.021,0.013
mix.wav,p10,0.956,0.925,0.021,0.013
mix.wav,p3,0.908,0.866,0.021,0.013
mix.wav,m3,0.733,0.660,0.016,0.007
mix.wav,p10,0.969,0.952,0.016,0.007
mix.wav,p3,0.927,0.890,0.016,0.007
mix.wav,m3,0.886,0.804,0.038,0.012
mix.wav,p10,0.970,0.952,0.038,0.012
mix.wav,p3,0.951,0.918,0.038,0.012
mix.wav,m3,0.911,0.852,0.106,0.054
mix.wav,p10,0.956,0.942,0.106,0.053
mix.wav,p3,0.947,0.930,0.106,0.054
mix.wav,m3,0.884,0.831,0.046,0.028
mix.wav,p10,0.984,0.970,0.046,0.028
mix.wav,p3,0.977,0.957,0.046,0.028
mix.wav,m3,0.891,0.827,0.149,0.097
mix.wav,p10,0.972,0.951,0.148,0.097
mix.wav,p3,0.941,0.915,0.148,0.097
