mix,snr_tag,in_05,in_07,out_05,out_07
mix.wav,m3,0.915,0.889,0.019,0.008
mix.wav,p10,0.955,0.938,0.009,0.002
mix.wav,p3,0.947,0.926,0.014,0.006
mix.wav,m3,0.876,0.800,0.148,0.059
mix.wav,p10,0.990,0.971,0.116,0.060
mix.wav,p3,0.963,0.938,0.128,0.056
mix.wav,m3,0.901,0.855,0.043,0.012
mix.wav,p10,0.845,0.741,0.055,0.019
mix.wav,p3,0.893,0.845,0.044,0.015
mix.wav,m3,0.918,0.831,0.037,0.014
mix.wav,p10,0.970,0.950,0.050,0.020
mix.wav,p3,0.983,0.959,0.038,0.013
mix.wav,m3,0.882,0.838,0.042,0.019
mix.wav,p10,0.953,0.922,0.085,0.036
mix.wav,p3,0.939,0.910,0.061,0.028
mix.wav,m3,0.782,0.723,0.033,0.013
mix.wav,p10,0.955,0.929,0.060,0.022
mix.wav,p3,0.900,0.866,0.043,0.018
mix.wav,m3,0.909,0.867,0.024,0.007
mix.wav,p10,0.979,0.962,0.044,0.006
mix.wav,p3,0.944,0.924,0.037,0.006
mix.wav,m3,0.762,0.637,0.031,0.004
mix.wav,p10,0.864,0.777,0.068,0.018
mix.wav,p3,0.852,0.760,0.043,0.008
mix.wav,m3,0.836,0.733,0.121,0.065
mix.wav,p10,0.972,0.934,0.141,0.072
mix.wav,p3,0.939,0.899,0.121,0.064
mix.wav,m3,0.285,0.132,0.050,0.020
mix.wav,p10,0.776,0.667,0.041,0.015
mix.wav,p3,0.623,0.464,0.042,0.017
mix.wav,m3,0.691,0.615,0.052,0.031
mix.wav,p10,0.899,0.865,0.059,0.028
mix.wav,p3,0.832,0.791,0.056,0.029
mix.wav,m3,0.420,0.342,0.009,0.002
mix.wav,p10,0.928,0.896,0.019,0.009
mix.wav,p3,0.729,0.662,0.014,0.005
mix.wav,m3,0.870,0.788,0.202,0.126
mix.wav,p10,0.916,0.874,0.136,0.075
mix.wav,p3,0.944,0.888,0.176,0.100
mix.wav,m3,0.903,0.865,0.031,0.012
mix.wav,p10,0.967,0.941,0.058,0.022
mix.wav,p3,0.947,0.913,0.042,0.019
mix.wav,m3,0.807,0.723,0.022,0.012
mix.wav,p10,0.967,0.953,0.011,0.002
mix.wav,p3,0.928,0.899,0.013,0.008
mix.wav,m3,0.548,0.463,0.085,0.044
mix.wav,p10,0.910,0.853,0.089,0.047
mix.wav,p3,0.756,0.663,0.088,0.048
mix.wav,m3,0.887,0.827,0.024,0.007
mix.wav,p10,0.956,0.929,0.038,0.016
mix.wav,p3,0.945,0.913,0.028,0.009
mix.wav,m3,0.952,0.906,0.055,0.022
mix.wav,p10,0.961,0.925,0.047,0.014
mix.wav,p3,0.951,0.919,0.051,0.017
mix.wav,m3,0.887,0.842,0.043,0.021
mix.wav,p10,0.989,0.986,0.049,0.017
mix.wav,p3,0.989,0.972,0.049,0.024
mix.wav,m3,0.890,0.847,0.143,0.090
mix.wav,p10,0.969,0.957,0.134,0.087
mix.wav,p3,0.942,0.919,0.121,0.069
