track,branch,role,sdr,sir,sar
Al_James_-_Schoolboy_Facination,nmf5,vocals,0.5019,-6.1941,5.0980
Al_James_-_Schoolboy_Facination,nmf5,bass,1.7510,-1.5195,6.4291
Al_James_-_Schoolboy_Facination,nmf5,drums,-1.9577,-5.8266,14.6927
Al_James_-_Schoolboy_Facination,nmf5,other,-0.4218,-9.6928,6.0947
Al_James_-_Schoolboy_Facination,nmfd8,vocals,3.0456,1.8132,5.3509
Al_James_-_Schoolboy_Facination,nmfd8,bass,1.9338,1.2252,8.0376
Al_James_-_Schoolboy_Facination,nmfd8,drums,-1.9577,-5.8266,14.6927
Al_James_-_Schoolboy_Facination,nmfd8,other,-0.4261,-12.3370,2.3896
AM_Contra_-_Heart_Peripheral,nmf5,vocals,1.1302,1.8819,4.0620
AM_Contra_-_Heart_Peripheral,nmf5,bass,-59.5572,-41.1136,7.6056
AM_Contra_-_Heart_Peripheral,nmf5,drums,2.1828,-0.4762,14.1335
AM_Contra_-_Heart_Peripheral,nmf5,other,-2.0677,-10.1493,6.7957
AM_Contra_-_Heart_Peripheral,nmfd8,vocals,3.7401,7.0110,7.7531
AM_Contra_-_Heart_Peripheral,nmfd8,bass,-63.1178,-46.6771,10.3444
AM_Contra_-_Heart_Peripheral,nmfd8,drums,2.1828,-0.4762,14.1335
AM_Contra_-_Heart_Peripheral,nmfd8,other,-0.2539,-12.0534,3.4477
Arise_-_Run_Run_Run,nmf5,vocals,-0.5695,-18.2654,4.9465
Arise_-_Run_Run_Run,nmf5,bass,0.8060,-5.0374,7.1151
Arise_-_Run_Run_Run,nmf5,drums,-3.9258,-7.4071,13.4130
Arise_-_Run_Run_Run,nmf5,other,0.6657,-2.3326,7.0247
Arise_-_Run_Run_Run,nmfd8,vocals,1.7550,0.8689,6.6895
Arise_-_Run_Run_Run,nmfd8,bass,1.5019,-2.6804,8.2767
Arise_-_Run_Run_Run,nmfd8,drums,-3.9258,-7.4071,13.4130
Arise_-_Run_Run_Run,nmfd8,other,0.8804,-3.7338,6.4379
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight,nmf5,vocals,0.7331,-3.3874,5.4461
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight,nmf5,bass,0.9614,-3.2309,5.9819
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight,nmf5,drums,1.5930,-1.1378,14.5644
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight,nmf5,other,-1.8733,-8.4779,8.1180
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight,nmfd8,vocals,1.5505,1.0714,6.1286
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight,nmfd8,bass,2.0035,-1.0492,10.7523
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight,nmfd8,drums,1.5930,-1.1378,14.5644
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight,nmfd8,other,-1.6482,-9.8094,10.7433
Buitraker_-_Revo_X,nmf5,vocals,-0.8159,-9.8637,3.6407
