track,branch,role,sdr,sir,sar
AM_Contra_-_Heart_Peripheral,xover100,vocals,3.7401,7.0110,7.7531
AM_Contra_-_Heart_Peripheral,xover100,bass,-67.8371,-59.1634,19.6935
AM_Contra_-_Heart_Peripheral,xover100,drums,2.1828,-0.4762,14.1335
AM_Contra_-_Heart_Peripheral,xover100,other,-0.2539,-12.0534,3.4477
AM_Contra_-_Heart_Peripheral,xover150,vocals,3.7401,7.0110,7.7531
AM_Contra_-_Heart_Peripheral,xover150,bass,-68.2929,-60.1538,24.2953
AM_Contra_-_Heart_Peripheral,xover150,drums,2.1828,-0.4762,14.1335
AM_Contra_-_Heart_Peripheral,xover150,other,-0.2539,-12.0534,3.4477
AM_Contra_-_Heart_Peripheral,xover250,vocals,3.7401,7.0110,7.7531
AM_Contra_-_Heart_Peripheral,xover250,bass,-68.7312,-59.1472,26.8409
AM_Contra_-_Heart_Peripheral,xover250,drums,2.1828,-0.4762,14.1335
AM_Contra_-_Heart_Peripheral,xover250,other,-0.2539,-12.0534,3.4477
AM_Contra_-_Heart_Peripheral,xover150d,vocals,3.7401,7.0110,7.7531
AM_Contra_-_Heart_Peripheral,xover150d,bass,-62.3317,-59.5185,14.1845
AM_Contra_-_Heart_Peripheral,xover150d,drums,2.1828,-0.4762,14.1335
AM_Contra_-_Heart_Peripheral,xover150d,other,-0.2539,-12.0534,3.4477
Al_James_-_Schoolboy_Facination,xover100,vocals,3.0456,1.8132,5.3509
Al_James_-_Schoolboy_Facination,xover100,bass,-2.9003,3.9161,20.2263
Al_James_-_Schoolboy_Facination,xover100,drums,-1.9577,-5.8266,14.6927
Al_James_-_Schoolboy_Facination,xover100,other,-0.4261,-12.3370,2.3896
Al_James_-_Schoolboy_Facination,xover150,vocals,3.0456,1.8132,5.3509
Al_James_-_Schoolboy_Facination,xover150,bass,-3.0492,2.6739,24.3762
Al_James_-_Schoolboy_Facination,xover150,drums,-1.9577,-5.8266,14.6927
Al_James_-_Schoolboy_Facination,xover150,other,-0.4261,-12.3370,2.3896
Al_James_-_Schoolboy_Facination,xover250,vocals,3.0456,1.8132,5.3509
Al_James_-_Schoolboy_Facination,xover250,bass,-2.9779,1.0398,27.0650
Al_James_-_Schoolboy_Facination,xover250,drums,-1.9577,-5.8266,14.6927
Al_James_-_Schoolboy_Facination,xover250,other,-0.4261,-12.3370,2.3896
Al_James_-_Schoolboy_Facination,xover150d,vocals,3.0456,1.8132,5.3509
Al_James_-_Schoolboy_Facination,xover150d,bass,-1.0030,3.4111,12.3321
Al_James_-_Schoolboy_Facination,xover150d,drums,-1.9577,-5.8266,14.6927
Al_James_-_Schoolboy_Facination,xover150d,other,-0.4261,-12.3370,2.3896
Arise_-_Run_Run_Run,xover100,vocals,1.7550,0.8689,6.6895
Arise_-_Run_Run_Run,xover100,bass,-4.2877,-0.1472,22.8451
Arise_-_Run_Run_Run,xover100,drums,-3.9258,-7.4071,13.4130
Arise_-_Run_Run_Run,xover100,other,0.8804,-3.7338,6.4379
Arise_-_Run_Run_Run,xover150,vocals,1.7550,0.8689,6.6895
Arise_-_Run_Run_Run,xover150,bass,-4.3514,-0.7667,24.9777
Arise_-_Run_Run_Run,xover150,drums,-3.9258,-7.4071,13.4130
Arise_-_Run_Run_Run,xover150,other,0.8804,-3.7338,6.4379
Arise_-_Run_Run_Run,xover250,vocals,1.7550,0.8689,6.6895
Arise_-_Run_Run_Run,xover250,bass,-3.7298,-1.7820,27.6706
Arise_-_Run_Run_Run,xover250,drums,-3.9258,-7.4071,13.4130
Arise_-_Run_Run_Run,xover250,other,0.8804,-3.7338,6.4379
Arise_-_Run_Run_Run,xover150d,vocals,1.7550,0.8689,6.6895
Arise_-_Run_Run_Run,xover150d,bass,-1.6525,-1.3879,12.3001
Arise_-_Run_Run_Run,xover150d,drums,-3.9258,-7.4071,13.4130
Arise_-_Run_Run_Run,xover150d,other,0.8804,-3.7338,6.4379
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight,xover100,vocals,1.5505,1.0714,6.1286
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight,xover100,bass,-4.0112,2.3989,19.1362
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight,xover100,drums,1.5930,-1.1378,14.5644
