track,branch,role,sdr,sir,sar
Al_James_-_Schoolboy_Facination__snrp10,nmf5,vocals,1.4638,14.5963,2.3306
Al_James_-_Schoolboy_Facination__snrp10,nmf5,bass,-6.3475,-23.5269,4.1000
Al_James_-_Schoolboy_Facination__snrp10,nmf5,drums,-15.1712,-19.3104,15.6715
Al_James_-_Schoolboy_Facination__snrp10,nmf5,other,-11.8084,-21.9844,5.0771
Al_James_-_Schoolboy_Facination__snrp10,nmfd8,vocals,3.5201,19.9115,6.1895
Al_James_-_Schoolboy_Facination__snrp10,nmfd8,bass,-9.1167,-19.9170,6.0960
Al_James_-_Schoolboy_Facination__snrp10,nmfd8,drums,-15.1712,-19.3104,15.6715
Al_James_-_Schoolboy_Facination__snrp10,nmfd8,other,-9.5609,-21.0778,6.6669
Al_James_-_Schoolboy_Facination__snrp3,nmf5,vocals,1.1744,10.6793,2.0673
Al_James_-_Schoolboy_Facination__snrp3,nmf5,bass,-4.1795,-15.6963,4.4502
Al_James_-_Schoolboy_Facination__snrp3,nmf5,drums,-8.7716,-12.6831,14.6077
Al_James_-_Schoolboy_Facination__snrp3,nmf5,other,-4.8192,-14.1557,6.3196
Al_James_-_Schoolboy_Facination__snrp3,nmfd8,vocals,4.4448,13.2172,7.1922
Al_James_-_Schoolboy_Facination__snrp3,nmfd8,bass,-1.0458,-8.2577,7.0057
Al_James_-_Schoolboy_Facination__snrp3,nmfd8,drums,-8.7716,-12.6831,14.6077
Al_James_-_Schoolboy_Facination__snrp3,nmfd8,other,-4.7932,-16.5441,6.7629
Al_James_-_Schoolboy_Facination__snrm3,nmf5,vocals,0.2519,-5.9506,5.6641
Al_James_-_Schoolboy_Facination__snrm3,nmf5,bass,-0.1628,-9.7131,5.2651
Al_James_-_Schoolboy_Facination__snrm3,nmf5,drums,-4.3941,-7.9941,13.3830
Al_James_-_Schoolboy_Facination__snrm3,nmf5,other,-1.3967,-9.8976,6.9571
Al_James_-_Schoolboy_Facination__snrm3,nmfd8,vocals,3.7741,6.6800,6.7802
Al_James_-_Schoolboy_Facination__snrm3,nmfd8,bass,1.8369,-0.9417,7.3544
Al_James_-_Schoolboy_Facination__snrm3,nmfd8,drums,-4.3941,-7.9941,13.3830
Al_James_-_Schoolboy_Facination__snrm3,nmfd8,other,-2.2288,-12.0909,6.0955
AM_Contra_-_Heart_Peripheral__snrp10,nmf5,vocals,1.4192,21.5577,2.3401
AM_Contra_-_Heart_Peripheral__snrp10,nmf5,bass,-70.7621,-58.6424,3.9912
AM_Contra_-_Heart_Peripheral__snrp10,nmf5,drums,-10.6596,-16.1286,14.4026
AM_Contra_-_Heart_Peripheral__snrp10,nmf5,other,-16.3023,-19.0090,6.7002
AM_Contra_-_Heart_Peripheral__snrp10,nmfd8,vocals,3.7085,25.8728,6.2834
AM_Contra_-_Heart_Peripheral__snrp10,nmfd8,bass,-76.1945,-61.3894,7.0985
AM_Contra_-_Heart_Peripheral__snrp10,nmfd8,drums,-10.6596,-16.1286,14.4026
AM_Contra_-_Heart_Peripheral__snrp10,nmfd8,other,-10.4407,-27.1800,9.0546
AM_Contra_-_Heart_Peripheral__snrp3,nmf5,vocals,1.3569,13.6598,1.9728
