track,stem,hist_vad_pct,raw_ratio,raw_pmean,sep_ratio,sep_pmean
Buitraker_-_Revo_X,drums+bass,99.96666717529297,1.000,0.815,1.000,0.971
Hollow_Ground_-_Ill_Fate,drums+bass,94.36666870117188,0.888,0.342,1.000,0.983
MERC_Music_-_Knockout,drums+bass,56.766666412353516,0.568,0.329,0.930,0.873
Moosmusic_-_Big_Dummy_Shake,drums+bass,98.80000305175781,0.960,0.622,1.000,0.981
Timboz_-_Pony,drums+bass,85.13333129882812,0.830,0.454,1.000,0.987
Buitraker_-_Revo_X,drums,98.80000305175781,0.944,0.531,1.000,0.971
Hollow_Ground_-_Ill_Fate,drums,70.73332977294922,0.592,0.190,1.000,0.978
MERC_Music_-_Knockout,drums,43.0,0.427,0.225,0.930,0.871
Moosmusic_-_Big_Dummy_Shake,drums,89.46666717529297,0.840,0.443,1.000,0.975
Timboz_-_Pony,drums,76.13333129882812,0.763,0.372,1.000,0.987
Al_James_-_Schoolboy_Facination,other,85.03333282470703,0.789,0.444,1.000,0.960
AM_Contra_-_Heart_Peripheral,other,99.96666717529297,0.999,0.824,1.000,0.976
Arise_-_Run_Run_Run,other,100.0,1.000,0.783,1.000,0.969
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight,other,99.66666412353516,0.985,0.637,1.000,0.959
Forkupines_-_Semantics,other,81.69999694824219,0.817,0.760,0.832,0.785
Little_Chicagos_Finest_-_My_Own,other,100.0,1.000,0.928,1.000,0.965
Louis_Cressy_Band_-_Good_Time,other,100.0,1.000,0.952,1.000,0.975
Motor_Tapes_-_Shore,other,100.0,1.000,0.937,1.000,0.949
PR_-_Oh_No,other,83.36666870117188,0.833,0.753,1.000,0.971
Punkdisco_-_Oral_Hygiene,other,43.06666564941406,0.440,0.317,1.000,0.959
Secretariat_-_Borderline,other,86.69999694824219,0.857,0.478,1.000,0.959
Signe_Jakobsen_-_What_Have_You_Done_To_Me,other,90.5,0.905,0.779,0.966,0.898
Skelpolu_-_Resurrection,other,7.666666507720947,0.075,0.048,1.000,0.957
Speak_Softly_-_Like_Horses,other,100.0,1.000,0.961,1.000,0.963
The_Mountaineering_Club_-_Mallory,other,100.0,1.000,0.867,1.000,0.965
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon,other,96.43333435058594,0.940,0.636,1.000,0.976
Tom_McKenzie_-_Directions,other,100.0,1.000,0.853,1.000,0.964
Zeno_-_Signs,other,99.96666717529297,0.999,0.866,1.000,0.963
Skelpolu_-_Resurrection,other,7.666666507720947,0.075,0.048,1.000,0.957
