bed,routed_ratio,routed_pmean,nf_mix
AM_Contra_-_Heart_Peripheral__other,1.000,0.972,-64.6
Al_James_-_Schoolboy_Facination__other,1.000,0.949,-72.4
Arise_-_Run_Run_Run__other,1.000,0.949,-23.0
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight__other,1.000,0.935,-34.5
Buitraker_-_Revo_X__drums+bass,1.000,0.960,-28.1
Buitraker_-_Revo_X__drums,1.000,0.952,-41.6
Forkupines_-_Semantics__other,0.832,0.778,-144.0
Hollow_Ground_-_Ill_Fate__drums+bass,1.000,0.953,-24.2
Hollow_Ground_-_Ill_Fate__drums,1.000,0.947,-30.7
Little_Chicagos_Finest_-_My_Own__other,1.000,0.936,-44.5
Louis_Cressy_Band_-_Good_Time__other,1.000,0.967,-58.8
MERC_Music_-_Knockout__drums+bass,0.930,0.875,-114.6
MERC_Music_-_Knockout__drums,0.930,0.869,-114.6
Moosmusic_-_Big_Dummy_Shake__drums+bass,1.000,0.958,-23.6
Moosmusic_-_Big_Dummy_Shake__drums,1.000,0.955,-28.4
Motor_Tapes_-_Shore__other,1.000,0.932,-27.0
PR_-_Oh_No__other,1.000,0.967,-83.8
Punkdisco_-_Oral_Hygiene__other,1.000,0.957,-46.2
Secretariat_-_Borderline__other,1.000,0.949,-31.0
Signe_Jakobsen_-_What_Have_You_Done_To_Me__other,0.966,0.897,-89.7
Skelpolu_-_Resurrection__other,1.000,0.949,-45.0
Speak_Softly_-_Like_Horses__other,1.000,0.955,-28.4
The_Mountaineering_Club_-_Mallory__other,1.000,0.940,-39.5
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon__other,1.000,0.960,-49.7
Timboz_-_Pony__drums+bass,1.000,0.952,-41.5
Timboz_-_Pony__drums,1.000,0.980,-57.8
Tom_McKenzie_-_Directions__other,1.000,0.945,-39.5
Zeno_-_Signs__other,1.000,0.946,-31.0
