bed,segments,armed_seg,armed_frame_ratio,micro_ratio,effective_ratio,nf,armed_g,eff_g
AM_Contra_-_Heart_Peripheral__other,2,1,0.300,0.999,0.300,-64.6,0.300,0.300
Al_James_-_Schoolboy_Facination__other,1,0,0.000,0.789,0.000,-72.4,0.000,0.000
Arise_-_Run_Run_Run__other,1,1,0.833,1.000,0.833,-23.0,0.000,0.000
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight__other,1,0,0.000,0.985,0.000,-34.5,0.000,0.000
Buitraker_-_Revo_X__drums+bass,2,1,0.100,1.000,0.100,-28.1,0.100,0.100
Buitraker_-_Revo_X__drums,2,1,0.033,0.944,0.024,-41.6,0.000,0.000
Forkupines_-_Semantics__other,1,0,0.000,0.817,0.000,-144.0,0.000,0.000
Hollow_Ground_-_Ill_Fate__drums+bass,3,1,0.267,0.888,0.241,-24.2,0.000,0.000
Hollow_Ground_-_Ill_Fate__drums,5,2,0.267,0.592,0.202,-30.7,0.033,0.015
Little_Chicagos_Finest_-_My_Own__other,1,0,0.000,1.000,0.000,-44.5,0.000,0.000
Louis_Cressy_Band_-_Good_Time__other,1,0,0.000,1.000,0.000,-58.8,0.000,0.000
MERC_Music_-_Knockout__drums+bass,3,1,0.067,0.568,0.039,-114.6,0.067,0.039
MERC_Music_-_Knockout__drums,5,2,0.100,0.427,0.014,-114.6,0.067,0.010
Moosmusic_-_Big_Dummy_Shake__drums+bass,3,1,0.133,0.960,0.133,-23.6,0.000,0.000
Moosmusic_-_Big_Dummy_Shake__drums,1,0,0.000,0.840,0.000,-28.4,0.000,0.000
Motor_Tapes_-_Shore__other,1,0,0.000,1.000,0.000,-27.0,0.000,0.000
PR_-_Oh_No__other,1,0,0.000,0.833,0.000,-83.8,0.000,0.000
Punkdisco_-_Oral_Hygiene__other,1,0,0.000,0.440,0.000,-46.2,0.000,0.000
Secretariat_-_Borderline__other,1,0,0.000,0.857,0.000,-31.0,0.000,0.000
Signe_Jakobsen_-_What_Have_You_Done_To_Me__other,2,1,0.500,0.905,0.422,-89.7,0.000,0.000
Skelpolu_-_Resurrection__other,1,0,0.000,0.075,0.000,-45.0,0.000,0.000
Speak_Softly_-_Like_Horses__other,1,0,0.000,1.000,0.000,-28.4,0.000,0.000
The_Mountaineering_Club_-_Mallory__other,1,0,0.000,1.000,0.000,-39.5,0.000,0.000
The_Sunshine_Garcia_Band_-_For_I_Am_The_Moon__other,1,0,0.000,0.940,0.000,-49.7,0.000,0.000
Timboz_-_Pony__drums+bass,3,1,0.200,0.830,0.140,-41.5,0.000,0.000
Timboz_-_Pony__drums,4,2,0.133,0.763,0.075,-57.8,0.000,0.000
Tom_McKenzie_-_Directions__other,1,0,0.000,1.000,0.000,-39.5,0.000,0.000
Zeno_-_Signs__other,2,1,0.667,0.999,0.666,-31.0,0.000,0.000
