mix_dir,snr_tag,armed_frame_ratio,micro_ratio,effective_ratio,armed_g,eff_g
AM_Contra_-_Heart_Peripheral__snrm3,m3,0.033,0.439,0.030,0.033,0.030
AM_Contra_-_Heart_Peripheral__snrp10,p10,0.367,0.480,0.279,0.000,0.000
AM_Contra_-_Heart_Peripheral__snrp3,p3,0.000,0.453,0.000,0.000,0.000
Al_James_-_Schoolboy_Facination__snrm3,m3,0.000,0.756,0.000,0.000,0.000
Al_James_-_Schoolboy_Facination__snrp10,p10,0.000,0.709,0.000,0.000,0.000
Al_James_-_Schoolboy_Facination__snrp3,p3,0.000,0.741,0.000,0.000,0.000
Arise_-_Run_Run_Run__snrm3,m3,0.833,0.992,0.826,0.000,0.000
Arise_-_Run_Run_Run__snrp10,p10,0.833,0.992,0.826,0.833,0.826
Arise_-_Run_Run_Run__snrp3,p3,0.833,0.992,0.826,0.833,0.826
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight__snrm3,m3,0.000,0.655,0.000,0.000,0.000
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight__snrp10,p10,0.067,0.673,0.065,0.000,0.000
Ben_Carrigan_-_Well_Talk_About_It_All_Tonight__snrp3,p3,0.000,0.672,0.000,0.000,0.000
Buitraker_-_Revo_X__snrm3,m3,0.000,1.000,0.000,0.000,0.000
Buitraker_-_Revo_X__snrp10,p10,0.133,1.000,0.133,0.000,0.000
Buitraker_-_Revo_X__snrp3,p3,0.000,1.000,0.000,0.000,0.000
Forkupines_-_Semantics__snrm3,m3,0.067,0.968,0.067,0.000,0.000
Forkupines_-_Semantics__snrp10,p10,0.433,0.968,0.433,0.067,0.067
Forkupines_-_Semantics__snrp3,p3,0.167,0.968,0.167,0.033,0.033
Hollow_Ground_-_Ill_Fate__snrm3,m3,0.000,0.971,0.000,0.000,0.000
Hollow_Ground_-_Ill_Fate__snrp10,p10,0.000,0.971,0.000,0.000,0.000
Hollow_Ground_-_Ill_Fate__snrp3,p3,0.000,0.971,0.000,0.000,0.000
Little_Chicagos_Finest_-_My_Own__snrm3,m3,0.000,0.956,0.000,0.000,0.000
Little_Chicagos_Finest_-_My_Own__snrp10,p10,0.000,0.968,0.000,0.000,0.000
Little_Chicagos_Finest_-_My_Own__snrp3,p3,0.000,0.965,0.000,0.000,0.000
Louis_Cressy_Band_-_Good_Time__snrm3,m3,0.000,0.759,0.000,0.000,0.000
Louis_Cressy_Band_-_Good_Time__snrp10,p10,0.100,0.765,0.100,0.000,0.000
Louis_Cressy_Band_-_Good_Time__snrp3,p3,0.000,0.765,0.000,0.000,0.000
MERC_Music_-_Knockout__snrm3,m3,0.000,0.270,0.000,0.000,0.000
MERC_Music_-_Knockout__snrp10,p10,0.000,0.583,0.000,0.000,0.000
